job_title,location,skills,job_description
Software Developer,Mumbai,"Python, JavaScript, React",Develop web applications using modern technologies
Data Analyst,Bangalore,"Excel, SQL, Python",Analyze business data and create reports
Customer Support Executive,Delhi,"Communication, Customer Service",Handle customer queries and provide support
Graphic Designer,Pune,"Photoshop, Illustrator, Creative Design",Create visual content for marketing campaigns
Sales Representative,Chennai,"Sales, Communication, Negotiation",Promote products and achieve sales targets
Content Writer,Hyderabad,"Writing, Research, SEO",Create engaging content for websites and blogs
Teaching Assistant,Kolkata,"Teaching, Communication, Subject Knowledge",Assist teachers in classroom activities
Delivery Executive,Mumbai,"Driving, Time Management",Deliver packages and maintain delivery schedules
Healthcare Assistant,Bangalore,"Patient Care, Medical Knowledge",Assist medical professionals in patient care
Digital Marketing Specialist,Delhi,"Social Media, SEO, Analytics",Manage digital marketing campaigns and social media
